Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
04_GP_T7_extreme,5,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,0,0,0,3,0.7522,2,0.3471,3,0,0,0,0,0.7524,0,,,,,,,,,
04_GP_T7_extreme,6,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,81,808,3,4,0.463,2,0.241,4,0,0,0,1,0.4632,81,,,,,,,,,
04_GP_T7_extreme,7,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,190,1638,12,3,0.1916,2,0.2167,3,0,0,0,2,0.1917,190,,,,,,,,,
04_GP_T7_extreme,8,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,0,0,0,2,0.5409,2,0.2672,2,0,0,0,0,0.5673,0,,,,,,,,,
04_GP_T7_extreme,9,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,3,23,2,5,0.5604,2,0.2135,5,0,0,0,1,0.5605,3,,,,,,,,,
04_GP_T7_extreme,10,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,11,82,3,4,0.4628,2,0.1945,4,0,0,0,2,0.463,11,,,,,,,,,
04_GP_T7_extreme,11,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,126,1135,7,2,0.1889,2,0.1335,2,0,0,0,2,0.1889,126,,,,,,,,,
04_GP_T7_extreme,12,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,51,515,6,2,0.1988,2,0.1108,2,0,0,0,2,0.1989,51,,,,,,,,,
04_GP_T7_extreme,13,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,3,23,2,2,0.3359,2,0.2223,2,0,0,0,1,0.336,3,,,,,,,,,
04_GP_T7_extreme,14,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,124,1146,7,2,0.1712,2,0.1326,2,0,0,0,2,0.1712,124,,,,,,,,,
04_GP_T7_extreme,15,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,32,294,4,1,0.0055,6,0.0486,1,0,0,0,1,0.0055,31,,,,,,,,,
